CUSTOMER_INCOME_LEVEL,YEAR,CUSTOMER_AGE_GROUP,PRIVATE,DEPARTMENT,CLASS,VAR_CM,ORDER_BY,X_AXIS,VAR_SP,NATIONAL
1,2008,all,1082.54,all,all,country,1,Lithuania,profit,2868.48
1,2008,19-24,929.6,all,all,country,1,Spain,profit,3779.36
1,2008,19-24,673.9399999999999,all,all,country,1,Portugal,profit,1634.17
1,2008,19-24,259.46,all,all,country,1,Poland,profit,1003.81
1,2008,19-24,197.76999999999998,all,all,country,1,Norway,profit,752.4
1,2008,19-24,393.98,all,all,country,1,Netherlands,profit,1101.19
1,2008,19-24,26.73,all,all,country,1,Luxembourg,profit,126.16
1,2008,19-24,514.22,all,all,country,1,Sweden,profit,1502.57
1,2008,19-24,596.1999999999999,all,all,country,1,Lithuania,profit,2169.53
1,2008,19-24,482.87,all,all,country,1,Germany,profit,1783.38
1,2008,19-24,456.58,all,all,country,1,France,profit,1552.25
1,2008,19-24,282.11,all,all,country,1,Bulgaria,profit,879.6
