YEAR,ORDER_BY,X_AXIS,CUSTOMER_AGE_GROUP,TOTAL_VALUE,VAR_SP,VAR_CM
2007,1,Lithuania,all,72157.4,sales,country
2007,1,Luxembourg,all,4532.44,sales,country
2007,1,Netherlands,all,54722.65,sales,country
2007,1,Norway,all,19192.34,sales,country
2007,1,Poland,all,30090.1,sales,country
2007,1,Portugal,all,72452.72,sales,country
2007,1,Spain,all,88118.88,sales,country
2007,1,Sweden,all,42632.0,sales,country
2008,1,Belgium,all,96590.64,sales,country
2008,1,Bulgaria,all,62252.36,sales,country
2008,1,France,all,60157.94,sales,country
2008,1,Germany,all,83655.81,sales,country
2008,1,Greece,all,14289.49,sales,country
2008,1,Lithuania,all,99077.98999999999,sales,country
2008,1,Luxembourg,all,5432.63,sales,country
2008,1,Netherlands,all,62650.810000000005,sales,country
2008,1,Norway,all,21404.47,sales,country
2008,1,Poland,all,37876.67,sales,country
2008,1,Portugal,all,96458.12000000001,sales,country
2008,1,Spain,all,108609.54000000001,sales,country
2008,1,Sweden,all,49186.26,sales,country
2007,1,Belgium,19-24,2465.04,profit,country
2007,1,Belgium,25-34,11971.76,profit,country
2007,1,Belgium,35-44,17018.98,profit,country
2007,1,Belgium,45-54,12431.47,profit,country
2007,1,Belgium,55-64,1390.27,profit,country
2007,1,Belgium,65+,540.51,profit,country
2007,1,Bulgaria,19-24,484.3,profit,country
2007,1,Bulgaria,25-34,2361.37,profit,country
2007,1,Bulgaria,35-44,3481.02,profit,country
2007,1,Bulgaria,45-54,3134.98,profit,country
2007,1,Bulgaria,55-64,120.25,profit,country
2007,1,Bulgaria,65+,118.0,profit,country
2007,1,France,19-24,1968.6299999999999,profit,country
2007,1,France,25-34,9000.71,profit,country
2007,1,France,35-44,12638.53,profit,country
2007,1,France,45-54,9079.82,profit,country
2007,1,France,55-64,1117.24,profit,country
2007,1,France,65+,277.07,profit,country
2007,1,Germany,19-24,2232.56,profit,country
2007,1,Germany,25-34,11780.4,profit,country
2007,1,Germany,35-44,17110.03,profit,country
2007,1,Germany,45-54,11718.69,profit,country
