WEEK_NO,CLASS,SUB_CLASS,PRODUCT_DESC,YEAR,QUARTERS,DEPARTMENT,QUANTITY,DISCOUNT_YN,VAR_GRP
21,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,12.0,1,Q
22,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,22.0,1,Q
23,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,14.0,1,Q
24,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,14.0,1,Q
25,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,22.0,1,Q
26,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,2,DRY FOOD,10.0,1,Q
27,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,3,DRY FOOD,10.0,1,Q
28,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,3,DRY FOOD,7.0,1,Q
29,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,3,DRY FOOD,4.0,1,Q
30,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,3,DRY FOOD,7.0,1,Q
31,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,3,DRY FOOD,4.0,1,Q
32,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,3,DRY FOOD,6.0,1,Q
33,GROCERY,BAKED BREAD/BUNS/ROLLS,HAMBURGER BUNS,2007,3,DRY FOOD,7.0,1,Q
